Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-1/Cefixime - PersScore 0.368 PoseScore 2.815
0.602,0.823373111,1.102840046
0.603,0.82350934,1.103372667
0.604,0.823622807,1.103661599
0.605,0.823619241,1.10381773
0.606,0.823718509,1.104038845
0.607,0.823643183,1.104402489
0.608,0.823674684,1.104753992
0.609,0.823600718,1.105213816
0.61,0.823474414,1.105564502
0.611,0.823341379,1.105963139
0.612,0.823272152,1.106460673
0.613,0.82328889,1.106761772
0.614,0.823300138,1.106841264
0.615,0.823288171,1.106921671
0.616,0.823261977,1.107165808
0.617,0.823077609,1.107321084
0.618,0.822956277,1.107467769
0.619,0.822919512,1.107655698
0.62,0.822760883,1.10785218
0.621,0.822699512,1.108355266
0.622,0.822690122,1.109238157
0.623,0.822372976,1.109586278
0.624,0.822313637,1.110161438
0.625,0.822353857,1.110440702
0.626,0.822545732,1.110826765
0.627,0.822510503,1.111266938
0.628,0.822300497,1.111739898
0.629,0.822068475,1.1120595
0.63,0.821980914,1.112518918
0.631,0.821879872,1.112992981
0.632,0.821726561,1.113442847
0.633,0.821714475,1.113885647
0.634,0.821644519,1.114238822
0.635,0.821642013,1.114601042
0.636,0.821767257,1.119542764
0.637,0.821792397,1.119915645
0.638,0.821940931,1.120532964
0.639,0.822080488,1.122038413
0.64,0.821985069,1.122493439
0.641,0.822159816,1.123142253
0.642,0.822259734,1.123713681
0.643,0.82238201,1.124060541
0.644,0.822593935,1.124691879
0.645,0.822748812,1.125159832
0.646,0.82287021,1.125715744
0.647,0.822944621,1.126281408
0.648,0.823114953,1.126747442
0.649,0.823316499,1.127282628
0.65,0.823461905,1.127582093
0.651,0.823796703,1.128031384
0.652,0.823884752,1.128566159
0.653,0.823921144,1.129027928
0.654,0.82400858,1.129618
0.655,0.824004651,1.130285692
0.656,0.824211375,1.130998746
0.657,0.824191339,1.131605399
0.658,0.824147082,1.132129846
0.659,0.824265999,1.132545408
0.66,0.824468097,1.134666945
0.661,0.824655811,1.135210542
0.662,0.824706463,1.13562587
0.663,0.824796398,1.136120154
0.664,0.824820659,1.136605395
0.665,0.825024121,1.137169282
0.666,0.824953733,1.137533742
0.667,0.824962249,1.138109645
0.668,0.824938828,1.138466923
0.669,0.825073019,1.138968319
0.67,0.825200632,1.139473469
0.671,0.825207128,1.13995868
0.672,0.825180575,1.140334518
0.673,0.825324543,1.141464105
0.674,0.825643857,1.143712688
0.675,0.825848509,1.144141186
0.676,0.826088647,1.144561724
0.677,0.826323763,1.144994304
0.678,0.826168094,1.145414028
0.679,0.826330236,1.145859252
0.68,0.826354862,1.146192784
0.681,0.826419718,1.146624448
0.682,0.826264823,1.147069496
0.683,0.8262992,1.147471563
0.684,0.826399602,1.149071254
0.685,0.826579746,1.149435873
0.686,0.826800948,1.149765318
0.687,0.826595576,1.150226015
0.688,0.826567754,1.150777286
0.689,0.82665995,1.151226741
0.69,0.826829674,1.151693395
0.691,0.826843878,1.152110298
0.692,0.826897608,1.152531495
0.693,0.827044259,1.153001842
0.694,0.826956372,1.153397577
0.695,0.826964697,1.153864896
0.696,0.827035535,1.154319305
0.697,0.827197289,1.154723499
0.698,0.827406783,1.155157249
0.699,0.82748523,1.155680988
0.7,0.827587995,1.156096337
0.701,0.827817882,1.156618078
0.702,0.828027717,1.157123555
0.703,0.828151641,1.157569518
0.704,0.828387506,1.158090097
0.705,0.828453032,1.158608647
0.706,0.828476614,1.159468442
0.707,0.828375943,1.159917079
0.708,0.828467686,1.160374297
0.709,0.828523993,1.161008158
0.71,0.828673753,1.1614852
0.711,0.828514031,1.161814128
0.712,0.828474921,1.162308607
0.713,0.828412069,1.162707831
0.714,0.828170899,1.163115772
0.715,0.827921267,1.163692269
0.716,0.827788412,1.164151132
0.717,0.827659337,1.16464206
0.718,0.827444066,1.165114339
0.719,0.827244355,1.165488604
0.72,0.827174994,1.16585692
0.721,0.827277389,1.166195811
0.722,0.827321683,1.166632337
0.723,0.827400428,1.16712594
0.724,0.827384015,1.167548355
0.725,0.827419157,1.167976034
0.726,0.827554433,1.168461912
0.727,0.827358732,1.168889466
0.728,0.827202934,1.169244537
0.729,0.827178846,1.169806761
0.73,0.827149302,1.170315562
0.731,0.826954795,1.170789142
0.732,0.826734525,1.171315891
0.733,0.826784352,1.171688859
0.734,0.826838501,1.172064854
0.735,0.826758295,1.172488394
0.736,0.826694695,1.172897271
0.737,0.826585242,1.173228609
0.738,0.826594263,1.17356136
0.739,0.826504095,1.173915544
0.74,0.826456347,1.174160062
0.741,0.826518572,1.175755923
0.742,0.826591228,1.17621237
0.743,0.826565714,1.176645609
0.744,0.82671964,1.177125308
0.745,0.826803678,1.177572411
0.746,0.826839454,1.178002929
0.747,0.826865519,1.178529086
0.748,0.826702901,1.178828514
0.749,0.826724631,1.179300131
0.75,0.826711187,1.179743132
0.751,0.826539986,1.180214719
0.752,0.827008141,1.180760364
0.753,0.82694966,1.181365599
0.754,0.826900253,1.18175279
0.755,0.826628673,1.182158207
0.756,0.826290572,1.182686837
0.757,0.826107412,1.18316713
