Pose/Time (ns),TEM-1/Ampicillin - PersScore 0.588 PoseScore 0.991,TEM-Ala237Arg/Ampicillin - PersScore 0.145 PoseScore 1.920
0.705,0.828453032,0.989569233
0.706,0.828476614,0.989945066
0.707,0.828375943,0.990306327
0.708,0.828467686,0.992143596
0.709,0.828523993,0.992714479
0.71,0.828673753,0.993386511
0.711,0.828514031,0.993999585
0.712,0.828474921,0.994519589
0.713,0.828412069,0.995126306
0.714,0.828170899,0.995699065
0.715,0.827921267,0.996316737
0.716,0.827788412,0.997018585
0.717,0.827659337,0.997344243
0.718,0.827444066,0.997956712
0.719,0.827244355,0.998486425
0.72,0.827174994,0.998949055
0.721,0.827277389,0.999504934
0.722,0.827321683,0.999796025
0.723,0.827400428,1.00041582
0.724,0.827384015,1.00101721
0.725,0.827419157,1.001554868
0.726,0.827554433,1.001985984
0.727,0.827358732,1.002370931
0.728,0.827202934,1.00299829
0.729,0.827178846,1.00351122
0.73,0.827149302,1.004103813
0.731,0.826954795,1.004652101
0.732,0.826734525,1.005293795
0.733,0.826784352,1.005909192
0.734,0.826838501,1.006388198
0.735,0.826758295,1.006932156
0.736,0.826694695,1.00747661
0.737,0.826585242,1.007919803
0.738,0.826594263,1.008403469
0.739,0.826504095,1.008812245
0.74,0.826456347,1.009190265
0.741,0.826518572,1.009368693
0.742,0.826591228,1.009619529
0.743,0.826565714,1.010767835
0.744,0.82671964,1.011098767
0.745,0.826803678,1.011878604
0.746,0.826839454,1.012663964
0.747,0.826865519,1.013083587
0.748,0.826702901,1.013431028
0.749,0.826724631,1.013707279
0.75,0.826711187,1.013926292
0.751,0.826539986,1.014121178
0.752,0.827008141,1.014148522
0.753,0.82694966,1.014411571
0.754,0.826900253,1.014598924
0.755,0.826628673,1.014675964
0.756,0.826290572,1.014829927
0.757,0.826107412,1.015096293
0.758,0.82599506,1.015257864
0.759,0.825763654,1.015398177
0.76,0.825771254,1.015425659
0.761,0.825806934,1.015349888
0.762,0.825793647,1.015161209
0.763,0.825843652,1.015047003
0.764,0.825780018,1.015096879
0.765,0.826079949,1.015046491
0.766,0.826149843,1.014948442
0.767,0.826109437,1.014943292
0.768,0.826024235,1.015045991
0.769,0.825782007,1.01513404
0.77,0.825513459,1.015336547
0.771,0.825302024,1.015281396
0.772,0.825113504,1.015363029
0.773,0.824938161,1.015483305
0.774,0.8248032,1.015754743
0.775,0.824777237,1.015975068
0.776,0.824585786,1.016065047
0.777,0.824664641,1.016139102
0.778,0.824527324,1.016416396
0.779,0.824423332,1.016625213
0.78,0.824244173,1.016766016
0.781,0.824054183,1.01697171
0.782,0.824073099,1.017154308
0.783,0.824321773,1.017171183
0.784,0.824445801,1.01722228
0.785,0.824701469,1.017403151
0.786,0.824777781,1.017478899
0.787,0.824790858,1.017597961
0.788,0.824720416,1.017736751
0.789,0.824939075,1.017727724
0.79,0.824991039,1.017895269
0.791,0.824955718,1.018070866
0.792,0.824910134,1.018070561
0.793,0.82486541,1.019022794
0.794,0.82499115,1.019028532
0.795,0.825154573,1.019157475
0.796,0.825204766,1.019174395
0.797,0.825167546,1.019240273
0.798,0.825104949,1.019225321
0.799,0.825339359,1.019294925
0.8,0.82544182,1.019299755
0.801,0.825512973,1.019374565
0.802,0.825599052,1.019463836
0.803,0.825662633,1.019680475
0.804,0.825903743,1.019729434
0.805,0.826186457,1.019938797
0.806,0.82637937,1.020002133
0.807,0.826425558,1.020180606
0.808,0.826470428,1.020449751
0.809,0.826566569,1.020651281
0.81,0.826681204,1.020806767
0.811,0.826945081,1.020887727
0.812,0.827944236,1.020994783
0.813,0.828680494,1.021068584
0.814,0.829095206,1.021266833
0.815,0.829351986,1.021507216
0.816,0.829872433,1.021573834
0.817,0.830764602,1.021740274
0.818,0.830964582,1.021990382
0.819,0.831021434,1.022088783
0.82,0.831040129,1.022271864
0.821,0.831304645,1.022461399
0.822,0.831560929,1.02284785
0.823,0.83175092,1.023176565
0.824,0.831828625,1.023378699
0.825,0.8319028,1.023611633
0.826,0.831924312,1.023749307
0.827,0.832030346,1.023903097
0.828,0.833608443,1.023945716
0.829,0.833779295,1.023979307
0.83,0.833763736,1.024151534
0.831,0.833862414,1.024383942
0.832,0.833841985,1.024637563
0.833,0.83369794,1.024715744
0.834,0.833690805,1.02496408
0.835,0.833671526,1.025148946
0.836,0.83366213,1.025293338
0.837,0.833651164,1.025363031
0.838,0.833535926,1.025429186
0.839,0.833443935,1.025416361
0.84,0.833363766,1.025543079
0.841,0.833403283,1.025775226
0.842,0.833452959,1.025978511
0.843,0.833399137,1.025988705
0.844,0.833425454,1.026134682
